accession	Line #	Plot Number	Replicate Number	Date data gathered	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Date data gathered	Total Yield	Specific gravity at harvest	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Heat sprout rating	Date data gathered	Specific gravity at storage	SFA Chip color - 45°	Colorimeter Chip Color	Sugar Analysis-Sucrose	Sugar Analysis-Glucose
accession	#	#	#	mm/dd/yy	Scale 1-9	PVP scale 1-9	PVP scale 1-9	mm/dd/yy	kg	SG = (air)/(air-water)	PVP scale 1-9	NE1014 scale 1-9	PVP scale 1-9	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9	NE1014 scale 1-9	Scale 1-9	mm/yyyy	SG = (air)/(air-water), 1.###	SFA 1-5 color chart		mg/g fresh weight (FW)	mg/g fresh weight (FW)
accession	Line #	Plot Number	Replicate Number	date	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	date1	SP:0000198|unit:kg	SP:0000218|unit:	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	SP:0000220|scale:potato_cooperators	date2	SP:0000219|unit:	SP:0000223|unit:	SP:0000224|unit:	SP:0000214|unit:milligram	SP:0000215|unit:milligram
A05141-28|2	A05141-28	2067	2	2009/06/03	3	7	6	2009/07/24	0.797	1.04593175853018	5	6	1	9	99.99 : average out of 9	40.38 : average out of 9	36.37 : average out of 9	2	4	3	1	2009/08/01	1.05785123966942	2	56	1.6363	0.264
A05141-29|1	A05141-29	1047	1	2009/06/03	5	5	4	2009/07/24	0.828	1.05747126436782	5	6	1	5	65.756	38.847	37.68	2	3	3	2	2009/08/01	1.05813953488372	2	60	4.475	0.1192
A05141-29|2	A05141-29	2048	2	2009/06/03	5	7	5	2009/07/24	1.503	1.05325858444289	5	7	1	5	69.055	47.412	44.832	3	5	3	4	2009/08/01	1.06024096385542	2	59	3.3321	0.2118
A05141-31|1	A05141-31	1030	1	2009/06/03	3	5	2	2009/07/24	1.898	1.07474518686297	5	6	1	5	60.728	39.282	37.135	3	3	5	1	2009/08/01	1.07741935483871	2	55	3.725	0.89
A05141-31|2	A05141-31	2002	2	2009/06/03	3	5	4	2009/07/24	1.834	1.07251461988304	5	5	1	7	76.052	44.473	41.561	3	3	4	2	2009/08/01	1.08333333333333	2	55	4.6979	0.6059
A05141-33|1	A05141-33	1041	1	2009/06/03	5	5	3	2009/07/24	1.681	1.06933842239186	5	6	1	4	60.614	39.312	35.732	2	3	3	1	2009/08/01	1.0695652173913	2	59	6.415	0.791
A05141-33|2	A05141-33	2033	2	2009/06/03	5	3	2	2009/07/24	0.837	1.07170294494238	5	6	1	6	65.546	41.445	37.751	2	4	4	1	2009/08/01	1.07142857142857	2	59	3.2083	0.2745
A05141-34|1	A05141-34	1078	1	2009/06/03	3	7	6	2009/07/24	1.345	1.06324110671937	5	6	1	5	70.57 : average out of 9	54.30 : average out of 9	47.78 :average out of 9	4	6	4	2	2009/08/01	1.06293706293706	2	58	2.6033	0.2484
A05141-34|2	A05141-34	2046	2	2009/06/03	3	9	9	2009/07/24	2.256	1.05420560747664	5	6	1	5	70.919	61.058	54.679	3	7	4	1	2009/08/01	1.05755395683453	2	60	2.1404	0.215
A05141-35|1	A05141-35	1092	1	2009/06/03	3	6	5	2009/07/24	1.406	1.06676783004552	6	5	1	5	58.449	47.546	42.402	4	3	5	3	2009/08/01	1.07253886010363	3	52	2.0075	1.359
A05141-35|2	A05141-35	2097	2	2009/06/03	3	8	8	2009/07/24	2.957	1.05871822413176	5	5	1	6	82.427	53.871	48.435	4	5	3	3	2009/08/01	1.06812652068127	2	57	1.8104	0.1572
A05141-37|1	A05141-37	1060	1	2009/06/03	5	6	4	2009/07/24	2.421	1.0712389380531	5	6	1	6	72.126	44.545	41.206	2	4	3	1	2009/08/01	1.07216494845361	3	52	3.8546	0.3662
A05141-37|2	A05141-37	2058	2	2009/06/03	5	5	4	2009/07/24	2.32	1.07011070110701	5	4	1	6	87.155	52.551	49.345	2	5	3	1	2009/08/01	1.07777777777778	2	59	2.9883	0.2012
A05141-39|1	A05141-39	1099	1	2009/06/03	3	6	8	2009/07/24	1.151	1.06574074074074	6	3	1	3	63.273	54.429	49.599	3	4	5	2	2009/08/01	1.06463878326996	3	53	4.0608	0.627
A05141-39|2	A05141-39	2077	2	2009/06/03	3	8	6	2009/07/24	1.774	1.061004784689	6	3	1	2	69.245	60.768	54.245	3	7	4	3	2009/08/01	1.06741573033708	2	56	5.2388	1.1513
A05141-41|1	A05141-41	1056	1	2009/06/03	3	7	4	2009/07/24	0.703	1.07822085889571	5	5	1	8	83.492	36.2	34.186	1	3	2	2	2009/08/01	1.07878787878788	2	55	4.2178	1.1889
A05141-41|2	A05141-41	2068	2	2009/06/03	3	8	6	2009/07/24	1.237	1.06637931034483	5	5	1	8	88.215	41.083	38.636	1	3	2	2	2009/08/01	1.07407407407407	2	55	3.495	0.6905
A05141-42|1	A05141-42	1076	1	2009/06/03	5	2	1	2009/07/24	0.496	1.07127429805616	5	7	1	5	73.05 : average out of 5	50.35 : average out of 5	45.17 : average out of 5	3	5	4	1	2009/08/01	1.06896551724138	2	57	3.39	0.245
A05141-42|2	A05141-42	2071	2	2009/06/03	3	2	1	2009/07/24	2.176	1.07033939990162	5	7	1	6	79.017	52.962	49.569	4	6	6	1	2009/08/01	1.07511737089202	2	58	3.0204	0.2658
A05141-43|1	A05141-43	1018	1	2009/06/03	3	7	6	2009/07/24	2.289	1.05678670360111	5	6	1	3	71.271	51.43	46.623	3	5	3	4	2009/08/01	1.05841924398625	3	50	2.8325	1.7875
A05141-43|2	A05141-43	2035	2	2009/06/03	5	6	6	2009/07/24	2.616	1.05611626968107	5	6	1	4	66.125	51.883	47.747	3	3	4	4	2009/08/01	1.06060606060606	3	49	1.8929	2.0854
A05141-44|1	A05141-44	1050	1	2009/06/03	3	5	4	2009/07/24	1.514	1.0572625698324	5	6	1	5	83.76	53.437	50.002	2	6	5	1	2009/08/01	1.06744186046512	2	59	3.9233	0.3039
A05141-44|2	A05141-44	2034	2	2009/06/03	3	5	7	2009/07/24	2.251	1.06329711856401	5	7	1	5	87.475	58.521	51.987	4	7	7	1	2009/08/01	1.0715935334873	2	62	2.7638	0.2131
A05141-45|1	A05141-45	1097	1	2009/06/03	3	6	7	2009/07/24	0.604	1.05594405594406	5	5	1	8	71.404	35.843	33.464	3	4	4	1	2009/08/01	1.05084745762712	3	53	3.5573	1.0325
A05141-45|2	A05141-45	2090	2	2009/06/03	3	7	7	2009/07/24	0.853	1.0517879161529	5	4	1	7	79.706	43.935	40.554	4	3	4	1	2009/08/01	1.05531914893617	3	53	2.4842	0.5757
A05141-46|1	A05141-46	1081	1	2009/06/03	3	5	4	2009/07/24	1.324	1.0668815471394	6	3	1	4	68.043	47.726	44.523	1	5	3	2	2009/08/01	1.0672268907563	2	61	2.1908	0.055
A05141-46|2	A05141-46	2078	2	2009/06/03	5	5	4	2009/07/24	2.531	1.06703204047218	6	3	1	6	83.129	57.643	51.935	1	6	3	1	2009/08/01	1.07555555555556	2	62	1.6408	0.0394
A05141-47|1	A05141-47	1037	1	2009/06/03	3	5	3	2009/07/24	2.282	1.0594243268338	5	6	1	8	108.439	53.832	49.991	2	7	3	2	2009/08/01	1.06476683937824	2	56	2.3146	0.181
A05141-47|2	A05141-47	2080	2	2009/06/03	3	5	4	2009/07/24	1.295	1.05973813420622	5	4	1	8	93.481	48.349	44.461	2	7	3	1	2009/08/01	1.06569343065693	2	60	2.0304	0.082
A05141-48|1	A05141-48	1057	1	2009/06/03	3	8	5	2009/07/24	3.814	1.05768164170826	5	7	1	9	135.184	58.161	52.069	1	8	4	1	2009/08/01	1.05952380952381	3	52	3.6758	0.9135
A05141-48|2	A05141-48	2039	2	2009/06/03	5	6	4	2009/07/24	3.504	1.05701357466063	5	7	1	8	120.818	61.189	54.847	4	8	3	3	2009/08/01	1.06163328197227	3	51	4.7621	1.2008
A05141-50|1	A05141-50	1035	1	2009/06/03	3	7	4	2009/07/24	1.087	1.0615234375	5	4	1	7	83.883	43.978	41.868	2	4	3	1	2009/08/01	1.06360424028269	2	58	2.6904	0.4143
