AccessionNum	Gene	Allele	test
LA0323	e	--	x
LA0323	ms-16	--	x
LA0323	wf	--	x
LA0324	Me	--	x
LA0325	Cu	--	x
LA0326	pr	--	x
LA0328	H	--	x
LA0328	t	--	x
LA0328	Xa	--	x
LA0329	ls	--	x
LA0330	bk	--	x
LA0330	d	--	x
LA0330	o	--	x
LA0330	p	--	x
LA0330	r	--	x
LA0330	s	--	x
LA0330	y	--	x
LA0332	ah	--	x
LA0332	ds	--	x
LA0332	yv	--	x
LA0335	La	--	x
LA0336	a	--	x
LA0336	c	--	x
LA0336	sp	--	x
LA0336	y	--	x
LA0339	ag	--	x
LA0339	u	--	x
LA0340	e	--	x
LA0340	Wo	m	x
LA0341	ag	--	x
LA0341	h	--	x
LA0341	ms-02	--	x
LA0342	d	--	x
LA0342	ms-17	--	x
LA0342	Wo	m	x
LA0343	ah	--	x
LA0343	dl	--	x
LA0343	ms-17	--	x
LA0343	yv	--	x
LA0344	ah	--	x
LA0344	Cu	--	x
LA0344	dl	--	x
LA0344	yv	--	x
LA0345	ch	--	x
LA0345	j-2	--	x
LA0347	at	--	x
LA0347	cm	--	x
LA0347	Od	--	x
LA0348	B	og	x
LA0351	t	v	x
LA0352	ah	prov6	x
LA0353	r	prov5	x
LA0359	ms-32	--	x
LA0422	ag	2	x
LA0458	Cmr	--	x
LA0458	Lv	--	x
LA0490	I	--	x
LA0490	sp	--	x
LA0490	Ve	--	x
LA0495	ag	--	x
LA0495	e	--	x
LA0495	H	--	x
LA0495	wf	--	x
LA0496	ah	--	x
LA0496	dl	--	x
LA0496	wd	--	x
LA0497	ch	--	x
LA0497	j-2	--	x
LA0497	sf	--	x
LA0498	hp-1	--	x
LA0498	ls	--	x
LA0499	at	--	x
LA0499	cm	--	x
LA0499	Od	--	x
LA0499	snt	--	x
LA0500	B	og	x
LA0501	Hrt	--	x
LA0503	slx	--	x
LA0505	Lx	--	x
LA0507	d	--	x
LA0507	f	--	x
LA0507	gf	--	x
LA0507	H	--	x
LA0508	a	--	x
LA0508	c	--	x
LA0508	d	--	x
LA0508	gf	--	x
LA0508	r	--	x
LA0508	y	--	x
LA0509	clau	prov2	x
LA0511	a	--	x
LA0511	c	--	x
LA0511	ps	--	x
LA0511	y	--	x
LA0512	mc	--	x
LA0512	obv	--	x
LA0512	tf	--	x
LA0512	wt	--	x
LA0513	bu	--	x
LA0513	dl	--	x
LA0513	l	--	x
LA0514	aw	--	x
LA0514	d	--	x
LA0514	Wo	m	x
LA0517	f	--	x
LA0519	mps	--	x
LA0533	al	--	x
LA0533	Ge	c	x
LA0536	an	--	x
LA0537	aeg	--	x
LA0538	au	(1s)	x
LA0539	car	--	x
LA0540	cla	--	x
LA0541	con	--	x
LA0542	deb	--	x
LA0543	def	--	x
LA0544	dep	--	x
LA0545	dil	--	x
LA0546	ele	--	x
LA0547	elu	--	x
LA0548	fla	--	x
LA0549	bu	ab	x
LA0550	ful	--	x
LA0551	glo	--	x
LA0552	imb	--	x
LA0553	inf	--	x
LA0554	inv	--	x
LA0555	jug	--	x
LA0556	lat	--	x
LA0557	luc	--	x
LA0558	lut	--	x
LA0559	marm	--	x
LA0560	mult	--	x
LA0561	na	--	x
LA0562	neg	--	x
LA0563	pal	--	x
LA0564	per	--	x
LA0565	pro	--	x
LA0566	prun	--	x
LA0567	pum	--	x
LA0568	pur	--	x
LA0569	ra	--	x
LA0570	d	cr	x
LA0571	d	im	x
LA0572	l	2	x
LA0573	rust	--	x
LA0574	sit	--	x
LA0575	stri	--	x
LA0576	sub	--	x
LA0577	suf	--	x
LA0578	ten	--	x
LA0579	tf	2	x
LA0580	uni	--	x
LA0581	va	dec	x
LA0582	va	virg	x
LA0583	var	--	x
LA0584	ven	--	x
LA0585	vir	--	x
LA0586	ele	2	x
LA0587	atn	--	x
LA0588	bc	--	x
LA0589	bul	--	x
LA0590	cn	--	x
LA0591	clau	--	x
LA0592	co	--	x
LA0593	cv	--	x
LA0594	de	--	x
LA0595	deli	--	x
LA0596	depa	--	x
LA0597	dim	--	x
LA0598	dis	--	x
LA0599	su	3	x
LA0600	er	--	x
LA0601	exl	--	x
LA0602	fir	--	x
LA0603	flav	--	x
LA0604	bu	hem	x
LA0605	fu	--	x
LA0606	glau	--	x
LA0607	gra	--	x
LA0608	ig	--	x
LA0609	inc	--	x
LA0610	com	in	x
LA0611	c	int	x
LA0612	glo	2	x
LA0613	irr	--	x
LA0614	mn	--	x
LA0615	mon	--	x
LA0616	su	ni	x
LA0617	not	--	x
LA0618	op	--	x
LA0619	pau	--	x
LA0620	pic	--	x
LA0621	pu	--	x
LA0622	rela	--	x
LA0623	rep	--	x
LA0624	re	--	x
LA0625	d-2	--	x
LA0626	ru	--	x
LA0627	squa	--	x
LA0628	su	--	x
LA0629	tab	--	x
LA0630	um	--	x
LA0631	yv	3	x
LA0632	ver	--	x
LA0633	vio	--	x
LA0634	def	2	x
LA0635	rv	--	x
LA0635	sf	--	x
LA0636	ah	--	x
LA0636	yv	--	x
LA0637	tf	--	x
LA0637	Wo	--	x
LA0637	Xa	--	x
LA0638	d	--	x
LA0638	ht	--	x
LA0638	r	--	x
LA0639	aw	--	x
LA0639	d	--	x
LA0639	Me	--	x
LA0640	c	--	x
LA0640	yv	--	x
LA0641	au	(1s)	x
LA0642	al	--	x
LA0642	d	--	x
LA0642	h	--	x
LA0642	j	--	x
LA0642	l-2	--	x
LA0642	u	--	x
LA0642	wt	--	x
LA0643	l-2	--	x
LA0643	u	--	x
LA0644	r	--	x
LA0644	wf	--	x
LA0645	j	--	x
LA0646	d	--	x
LA0646	gh	--	x
LA0646	r	--	x
LA0647	B	--	x
LA0647	gh	--	x
LA0648	e	--	x
LA0648	h	--	x
LA0648	j	--	x
LA0648	rv	--	x
LA0648	wf	--	x
LA0648	Wo	--	x
LA0649	ag	--	x
LA0649	t	v	x
LA0650	aw	--	x
LA0650	d	--	x
LA0651	c	--	x
LA0651	m-2	--	x
LA0652	ch	--	x
LA0653	ah	--	x
LA0653	dl	--	x
LA0653	yv	--	x
LA0655	Mi	--	x
LA0656	Mi	--	x
LA0658	afl	--	x
LA0659	wv	--	x
LA0660	cv	2	x
LA0661	adp	--	x
LA0662	apl	--	x
LA0663	bip	--	x
LA0664	com	--	x
