Accession	Status	Accession Category	Taxon (Lycopersicon)	Taxon2 (Solanum)	Collection Site	Province Or Department	Country
LA1679	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tambo de Mora	Ica	Peru
LA1680	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Encanada	Lima	Peru
LA1682	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Montalban - San Vicente	Lima	Peru
LA1683	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Miramar	Piura	Peru
LA1684	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chulucanas	Piura	Peru
LA1685	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Marcavelica	Piura	Peru
LA1686	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Valle Hermoso #1	Piura	Peru
LA1687	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Valle Hermoso #2	Piura	Peru
LA1688	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pedregal	Piura	Peru
LA1689	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Castilla #1	Piura	Peru
LA1690	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Castilla #2	Piura	Peru
LA1697	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Quiroz, Santa Anita	Lima	Peru
LA1719	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	E of Arenillas	El Oro	Ecuador
LA1720	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Yautan	Ancash	Peru
LA1728	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio San Juan	Ica	Peru
LA1729	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio San Juan	Ica	Peru
LA1742	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Olmos-Marquina	Lambayeque	Peru
LA1781	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Bahia de Caraquez	Manabi	Ecuador
LA1921	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Majarena	Ica	Peru
LA1923	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Coop. Cabildo	Ica	Peru
LA1924	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Piedras Gordas	Ica	Peru
LA1925	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pangavari, Nazca	Ica	Peru
LA1933	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Jaqui	Arequipa	Peru
LA1936	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huancalpa	Arequipa	Peru
LA1950	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pescadores	Arequipa	Peru
LA1987	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Viru - Fundo Luis Enrique	La Libertad	Peru
LA1992	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pichicato	Lima	Peru
LA1993	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chicama Valley?	Lima	Peru
LA2093	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Union	El Oro	Ecuador
LA2096	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Playa, near Catacocha	Loja	Ecuador
LA2097	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Macara	Loja	Ecuador
LA2102	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Lucero	Loja	Ecuador
LA2112	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Monterrey	Loja	Ecuador
LA2145	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Juan Montalvo	Los Rios	Ecuador
LA2146	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Limoncarro	La Libertad	Peru
LA2147	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Yube	Cajamarca	Peru
LA2149	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Puente Muyuna	Cajamarca	Peru
LA2170	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pai Pai	Cajamarca	Peru
LA2173	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cruz de Huayquillo	Cajamarca	Peru
LA2176	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Timbaruca	Cajamarca	Peru
LA2178	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tororume	Cajamarca	Peru
LA2179	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tamboripa - La Manga	Cajamarca	Peru
LA2180	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Coipa	Cajamarca	Peru
LA2181	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Balsa Huaico	Cajamarca	Peru
LA2182	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cumba	Amazonas	Peru
LA2183	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Corral Quemado	Amazonas	Peru
LA2184	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Bagua	Amazonas	Peru
LA2186	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Salao	Amazonas	Peru
LA2187	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Caldera	Amazonas	Peru
LA2188	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Manchungal #1	Amazonas	Peru
LA2189	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Manchungal #2	Amazonas	Peru
LA2335	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	(4x)		
LA2340	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	(4x)		
LA2345	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA2346	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA2347	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA2348	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Trujillo	La Libertad	PERU
LA2389	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tembladera	Cajamarca	Peru
LA2390	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chungal	Cajamarca	Peru
LA2391	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chungal to Monte Grande	Cajamarca	Peru
LA2401	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Moxeque	Ancash	Peru
LA2412	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo Don Javier, Chilca	Lima	Peru
LA2533	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Lomas de Latillo	Lima	Peru
LA2534	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Vista Florida, Chiclayo	Lambayeque	Peru
LA2535	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Patapo	Lambayeque	Peru
LA2536	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Patapo-La Cria	Lambayeque	Peru
LA2537	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Malpaso	Lambayeque	Peru
LA2538	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Malpaso	Lambayeque	Peru
LA2539	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cuculi	Lambayeque	Peru
LA2540	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Cria	Lambayeque	Peru
LA2544	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pacasmayo-Huabal	La Libertad	Peru
LA2545	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tembladera	Cajamarca	Peru
LA2546	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tonan	Cajamarca	Peru
LA2547	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Yatahual	Cajamarca	Peru
LA2549	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Muyuna	Cajamarca	Peru
LA2576	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Valle de Casma	Ancash	Peru
LA2578	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tuturo	Ancash	Peru
LA2585	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	(4x)		
LA2628	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Echarate/Tornillochayoc	Cusco	Peru
LA2645	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Desvio Chulucanas	Piura	Peru
LA2646	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chalaco	Piura	Peru
LA2647	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Morropon-Chalaco	Piura	Peru
LA2652	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Sullana	Piura	Peru
LA2653	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Francisco de Chocon Querecotillo	Piura	Peru
LA2655	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Huaca - Sullana	Piura	Peru
LA2656	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Suarez	Tumbes	Peru
LA2659	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Castilla, Univ. Nac. de Piura	Piura	Peru
LA2718	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chilca	Lima	Peru
LA2725	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tambo Colorado	Ica	Peru
LA2805	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA2831	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Nazca	Ica	Peru
LA2832	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chichictara	Ica	Peru
LA2833	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Asiento	Ica	Peru
LA2836	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Aja	Ica	Peru
LA2839	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tialango	Amazonas	Peru
LA2840	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Hilarion de Tomaque	Amazonas	Peru
LA2850	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Rosa, Manta	Manabi	Ecuador
LA2851	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Carcel de Montecristo	Manabi	Ecuador
LA2852	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cirsto Rey de Charapoto	Manabi	Ecuador
LA2853	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Experiment Station, Portoviejo-INIAP	Manabi	Ecuador
LA2854	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Jipijapa	Manabi	Ecuador
LA2857	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Isabela: Puerto Villamil	Galapagos Islands	Ecuador
LA2866	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Via a Amaluza	Loja	Ecuador
LA2914A	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Urb. La Castellana, Surco	Lima	Peru
LA2914B	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Urb. La Castellana, Surco	Lima	Peru
LA2915	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Remanso de Olmos	Lambayeque	Peru
LA2934	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Carabayllo	Lima	Peru
LA2966	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Molina	Lima	Peru
LA2974	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huaca del Sol	La Libertad	Peru
LA2982	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chilca #1	Lima	Peru
LA2983	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chilca #2	Lima	Peru
LA3123	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Cruz: summit	Galapagos Islands	Ecuador
LA3158	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Los Mochis	Sinaloa	Mexico
LA3159	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Los Mochis	Sinaloa	Mexico
LA3160	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Los Mochis	Sinaloa	Mexico
LA3161	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Los Mochis	Sinaloa	Mexico
LA3468	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Molina Vieja	Lima	Peru
LA3634	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Rosa de Asia	Lima	Peru
LA3638	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Ccatac	Lima	Peru
LA3798	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Río Pativilca	Ancash	Peru
LA3803	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pacanguilla	La Libertad	Peru
LA3852	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Atinchik, Pachacamac	Lima	Peru
LA3859	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA3910	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Cruz: near tortoise preserve	Galapagos Islands	Ecuador
LA4027	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Olmos-Jaen Road	Lambayeque	Peru
LA4138	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Corregidor, La Molina	Lima	Peru
LA4431	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium			
LA1974	Active	Wild species	S. sitiens	S. sitiens	Chuquicamata	Antofagasta	Chile
LA2876	Active	Wild species	S. sitiens	S. sitiens	Chuquicamata	Antofagasta	Chile
LA2877	Unavailable	Wild species	S. sitiens	S. sitiens	El Crucero	Antofagasta	Chile
LA2878	Active	Wild species	S. sitiens	S. sitiens	Mina La Exotica	Antofagasta	Chile
LA2885	Unavailable	Wild species	S. sitiens	S. sitiens	Caracoles	Antofagasta	Chile
LA4105	Active	Wild species	S. sitiens	S. sitiens	Mina La Escondida	Antofagasta	Chile
LA4110	Active	Wild species	S. sitiens	S. sitiens	Mina San Juan	Antofagasta	Chile
LA4112	Active	Wild species	S. sitiens	S. sitiens	Aguada Limon Verde	Antofagasta	Chile
LA4113	Active	Wild species	S. sitiens	S. sitiens	Estacion Cere	Antofagasta	Chile
LA4114	Active	Wild species	S. sitiens	S. sitiens	Pampa Carbonatera	Antofagasta	Chile
LA4115	Active	Wild species	S. sitiens	S. sitiens	Quebrada desde Cerro Oeste de Paqui	Antofagasta	Chile
LA4116	Active	Wild species	S. sitiens	S. sitiens	Quebrada de Paqui	Antofagasta	Chile
LA4331	Active	Wild species	S. sitiens	S. sitiens	Cerro Quimal	Antofagasta	Chile


