AccessionNum	Gene	Allele	ImageNum	Hyperlink
LA0353	r	prov5	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0422	ag	2	766	http://tgrc.ucdavis.edu/images/ag^2-LA0422-flowers,fruit.jpg
LA0422	ag	2	767	http://tgrc.ucdavis.edu/images/ag^2-LA0422-seedling-comp.jpg
LA0422	ag	2	768	http://tgrc.ucdavis.edu/images/ag^2-LA0422-whole-plant.jpg
LA0422	ag	2	769	http://tgrc.ucdavis.edu/images/ag^2-LA0422-seedling.jpg
LA0458	Cmr	--	1473	http://tgrc.ucdavis.edu/images/LA0458-chi-Tacna-low.jpg
LA0458	Lv	--	1473	http://tgrc.ucdavis.edu/images/LA0458-chi-Tacna-low.jpg
LA0490	I	--	632	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-fruit, stem.jpg
LA0490	I	--	633	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-infl.jpg
LA0490	I	--	634	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490.jpg
LA0490	sp	--	632	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-fruit, stem.jpg
LA0490	sp	--	633	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-infl.jpg
LA0490	sp	--	634	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490.jpg
LA0490	Ve	--	632	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-fruit, stem.jpg
LA0490	Ve	--	633	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490-infl.jpg
LA0490	Ve	--	634	http://tgrc.ucdavis.edu/images/i,sp,ve -la0490.jpg
LA0501	Hrt	--	413	http://tgrc.ucdavis.edu/images/Hrt-LA0501-buds.jpg
LA0501	Hrt	--	414	http://tgrc.ucdavis.edu/images/Hrt-LA0501-stem.jpg
LA0503	slx	--	1002	http://tgrc.ucdavis.edu/images/slx-LA0503-leaves.jpg
LA0503	slx	--	1003	http://tgrc.ucdavis.edu/images/slx-LA0503-seedling-comp.jpg
LA0509	clau	prov2	834	http://tgrc.ucdavis.edu/images/clau^prov2-LA0509-seedling-.jpg
LA0509	clau	prov2	835	http://tgrc.ucdavis.edu/images/clau^prov2-LA0509-leaves.jpg
LA0512	mc	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
LA0512	mc	--	249	http://tgrc.ucdavis.edu/images/tf^2.GIF
LA0512	mc	--	250	http://tgrc.ucdavis.edu/images/tf^2b.gif
LA0512	mc	--	689	http://tgrc.ucdavis.edu/images/tf-LA0512.jpg
LA0512	mc	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
LA0512	mc	--	948	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt-LA0512-seedling.jpg
LA0512	mc	--	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0512	mc	--	950	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-leaves.jpg
LA0512	mc	--	951	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-seedling.jpg
LA0512	obv	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
LA0512	obv	--	249	http://tgrc.ucdavis.edu/images/tf^2.GIF
LA0512	obv	--	250	http://tgrc.ucdavis.edu/images/tf^2b.gif
LA0512	obv	--	689	http://tgrc.ucdavis.edu/images/tf-LA0512.jpg
LA0512	obv	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
LA0512	obv	--	948	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt-LA0512-seedling.jpg
LA0512	obv	--	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0512	obv	--	950	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-leaves.jpg
LA0512	obv	--	951	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-seedling.jpg
LA0512	tf	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
LA0512	tf	--	249	http://tgrc.ucdavis.edu/images/tf^2.GIF
LA0512	tf	--	250	http://tgrc.ucdavis.edu/images/tf^2b.gif
LA0512	tf	--	689	http://tgrc.ucdavis.edu/images/tf-LA0512.jpg
LA0512	tf	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
LA0512	tf	--	948	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt-LA0512-seedling.jpg
LA0512	tf	--	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0512	tf	--	950	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-leaves.jpg
LA0512	tf	--	951	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-seedling.jpg
LA0512	wt	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
LA0512	wt	--	249	http://tgrc.ucdavis.edu/images/tf^2.GIF
LA0512	wt	--	250	http://tgrc.ucdavis.edu/images/tf^2b.gif
LA0512	wt	--	689	http://tgrc.ucdavis.edu/images/tf-LA0512.jpg
LA0512	wt	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
LA0512	wt	--	948	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt-LA0512-seedling.jpg
LA0512	wt	--	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0512	wt	--	950	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-leaves.jpg
LA0512	wt	--	951	http://tgrc.ucdavis.edu/images/mc,tf,obv,wt-LA0512-seedling.jpg
LA0536	an	--	349	http://tgrc.ucdavis.edu/images/an-LA0536-flowers.jpg
LA0536	an	--	350	http://tgrc.ucdavis.edu/images/an-LA0536-flwr-i.jpg
LA0536	an	--	351	http://tgrc.ucdavis.edu/images/an-LA0536-flwr-ii.jpg
LA0536	an	--	352	http://tgrc.ucdavis.edu/images/an-LA0536-ii.jpg
LA0536	an	--	787	http://tgrc.ucdavis.edu/images/an-LA0536-plant.jpg
LA0536	an	--	788	http://tgrc.ucdavis.edu/images/an-LA0536-inflorescence.jpg
LA0538	au	(1s)	90	http://tgrc.ucdavis.edu/images/au-2.GIF
LA0538	au	(1s)	791	http://tgrc.ucdavis.edu/images/au^1s-LA0538-leaves,flower.jpg
LA0538	au	(1s)	792	http://tgrc.ucdavis.edu/images/au^1s-LA0538-seedling.jpg
LA0538	au	(1s)	793	http://tgrc.ucdavis.edu/images/au^1s-LA0538-whole-plant.jpg
LA0538	au	(1s)	794	http://tgrc.ucdavis.edu/images/au^1s-LA0538-whole-plant-field.jpg
LA0539	car	--	62	http://tgrc.ucdavis.edu/images/car.GIF
LA0540	cla	--	372	http://tgrc.ucdavis.edu/images/cla-LA-0540-infl.jpg
LA0540	cla	--	373	http://tgrc.ucdavis.edu/images/cla-LA0540-lf-comp.jpg
LA0540	cla	--	374	http://tgrc.ucdavis.edu/images/cla-LA0540.jpg
LA0540	cla	--	375	http://tgrc.ucdavis.edu/images/cla-LA540-flowers.jpg
LA0540	cla	--	376	http://tgrc.ucdavis.edu/images/cla-LA540-infl.jpg
LA0541	con	--	779	http://tgrc.ucdavis.edu/images/al,con-LA0541-seedling.jpg
LA0541	con	--	780	http://tgrc.ucdavis.edu/images/al,con,na-LA0541,LA0561-seedling.jpg
LA0541	con	--	845	http://tgrc.ucdavis.edu/images/con-LA0541-whole-plant.jpg
LA0542	deb	--	869	http://tgrc.ucdavis.edu/images/deb-LA0542-leaves.jpg
LA0542	deb	--	870	http://tgrc.ucdavis.edu/images/deb-LA0542-whole-plant.jpg
LA0544	dep	--	881	http://tgrc.ucdavis.edu/images/dep-LA0544-seedling-comp.jpg
LA0544	dep	--	882	http://tgrc.ucdavis.edu/images/dep-LA0544-seedling.jpg
LA0545	dil	--	884	http://tgrc.ucdavis.edu/images/dil-LA0545-whole-plant.jpg
LA0545	dil	--	885	http://tgrc.ucdavis.edu/images/dil-LA0545-flowers.jpg
LA0545	dil	--	886	http://tgrc.ucdavis.edu/images/dil-LA0545-fruit.jpg
LA0546	ele	--	1	http://tgrc.ucdavis.edu/images/elu_a.gif
LA0546	ele	--	79	http://tgrc.ucdavis.edu/images/ele.GIF
LA0546	ele	--	131	http://tgrc.ucdavis.edu/images/gro-elu.GIF
LA0546	ele	--	227	http://tgrc.ucdavis.edu/images/so,elu.GIF
LA0546	ele	--	902	http://tgrc.ucdavis.edu/images/ele,-IL-in-CR-LA0546-seedling.jpg
LA0546	ele	--	903	http://tgrc.ucdavis.edu/images/ele-LA0546-flowers.jpg
LA0546	ele	--	904	http://tgrc.ucdavis.edu/images/ele-LA0546-whole-plant.jpg
LA0547	elu	--	2	http://tgrc.ucdavis.edu/images/elu_b.gif
LA0547	elu	--	905	http://tgrc.ucdavis.edu/images/elu-LA0547-seedling-comp.jpg
LA0547	elu	--	906	http://tgrc.ucdavis.edu/images/elu-LA0547-seedling.jpg
LA0549	bu	ab	816	http://tgrc.ucdavis.edu/images/bu^ab-LA0549-seedling-comp.jpg
LA0550	ful	--	123	http://tgrc.ucdavis.edu/images/glo.GIF
LA0552	imb	--	140	http://tgrc.ucdavis.edu/images/imb.GIF
LA0552	imb	--	929	http://tgrc.ucdavis.edu/images/imb-LA0552-whole-plant.jpg
LA0553	inf	--	932	http://tgrc.ucdavis.edu/images/inf,IL-in-CR-LA0553-seedling.jpg
LA0553	inf	--	1538	http://tgrc.ucdavis.edu/images/inf-LA0553-whole plant.JPG
LA0554	inv	--	150	http://tgrc.ucdavis.edu/images/inv.GIF
LA0557	luc	--	163	http://tgrc.ucdavis.edu/images/luc.GIF
LA0560	mult	--	84	http://tgrc.ucdavis.edu/images/mult.GIF
LA0560	mult	--	85	http://tgrc.ucdavis.edu/images/mult_b.GIF
LA0561	na	--	133	http://tgrc.ucdavis.edu/images/na.GIF
LA0561	na	--	780	http://tgrc.ucdavis.edu/images/al,con,na-LA0541,LA0561-seedling.jpg
LA0561	na	--	963	http://tgrc.ucdavis.edu/images/na-LA0561-flowers.jpg
LA0561	na	--	964	http://tgrc.ucdavis.edu/images/na-LA0561-whole-plant.jpg
LA0562	neg	--	132	http://tgrc.ucdavis.edu/images/hair.mutants.gif
LA0562	neg	--	134	http://tgrc.ucdavis.edu/images/neg.GIF
LA0563	pal	--	30	http://tgrc.ucdavis.edu/images/an.GIF
LA0563	pal	--	31	http://tgrc.ucdavis.edu/images/an_b.GIF
LA0563	pal	--	32	http://tgrc.ucdavis.edu/images/an_c.GIF
LA0563	pal	--	33	http://tgrc.ucdavis.edu/images/an_a.gif
LA0564	per	--	191	http://tgrc.ucdavis.edu/images/per.GIF
LA0565	pro	--	197	http://tgrc.ucdavis.edu/images/pro.GIF
LA0566	prun	--	198	http://tgrc.ucdavis.edu/images/prun.GIF
LA0566	prun	--	199	http://tgrc.ucdavis.edu/images/prun_b.GIF
LA0567	pum	--	204	http://tgrc.ucdavis.edu/images/pum.GIF
LA0570	d	cr	116	http://tgrc.ucdavis.edu/images/rob^crisp.GIF
LA0570	d	cr	386	http://tgrc.ucdavis.edu/images/d^cr-LA0570-plant.jpg
LA0570	d	cr	388	http://tgrc.ucdavis.edu/images/d-^cr-LA570.jpg
LA0570	d	cr	676	http://tgrc.ucdavis.edu/images/d^cr-LA570-comp.jpg
LA0570	d	cr	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0571	d	im	863	http://tgrc.ucdavis.edu/images/d^im-LA0571-seedling.jpg
LA0571	d	im	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0572	l	2	678	http://tgrc.ucdavis.edu/images/l-LA0572-lf-comp.jpg
LA0572	l	2	679	http://tgrc.ucdavis.edu/images/l-LA0572-stem-comp.jpg
LA0574	sit	--	222	http://tgrc.ucdavis.edu/images/sit.GIF
LA0576	sub	--	240	http://tgrc.ucdavis.edu/images/sub.GIF
LA0577	suf	--	1013	http://tgrc.ucdavis.edu/images/suf-LA0577-seedling-comp.jpg
LA0578	ten	--	246	http://tgrc.ucdavis.edu/images/ten.GIF
LA0579	tf	2	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg
LA0579	tf	2	1020	http://tgrc.ucdavis.edu/images/tf^2-LA0579-leaves.jpg
LA0580	uni	--	1025	http://tgrc.ucdavis.edu/images/uni-LA0580-flowers.jpg
LA0580	uni	--	1026	http://tgrc.ucdavis.edu/images/uni-LA0580-whole-plant.jpg
LA0580	uni	--	1027	http://tgrc.ucdavis.edu/images/uni-LA0580-seedling-comp.jpg
LA0580	uni	--	1028	http://tgrc.ucdavis.edu/images/uni-LA0580-seedling.jpg
LA0580	uni	--	1029	http://tgrc.ucdavis.edu/images/uni-LA0580-fruit.jpg
LA0581	va	dec	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg
LA0581	va	dec	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg
LA0582	va	virg	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg
LA0582	va	virg	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg
LA0585	vir	--	259	http://tgrc.ucdavis.edu/images/vir.GIF
LA0585	vir	--	1033	http://tgrc.ucdavis.edu/images/vir-LA0585-leaves.jpg
LA0585	vir	--	1034	http://tgrc.ucdavis.edu/images/vir-LA0585-seedling-comp.jpg
LA0586	ele	2	307	http://tgrc.ucdavis.edu/images/ele^2.GIF
LA0587	atn	--	89	http://tgrc.ucdavis.edu/images/atn.gif
LA0588	bc	--	805	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling-comp.jpg
LA0588	bc	--	806	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling.jpg
LA0593	cv	--	114	http://tgrc.ucdavis.edu/images/cv.gif
LA0596	depa	--	883	http://tgrc.ucdavis.edu/images/depa-LA0596-seedling-comp.jpg
LA0597	dim	--	390	http://tgrc.ucdavis.edu/images/dim-LA0597-i-.jpg
LA0597	dim	--	391	http://tgrc.ucdavis.edu/images/dim-LA0597-ii.jpg
LA0598	dis	--	887	http://tgrc.ucdavis.edu/images/dis-LA0598-seedling-comp.jpg
LA0599	su	3	5	http://tgrc.ucdavis.edu/images/exa.GIF
LA0600	er	--	907	http://tgrc.ucdavis.edu/images/er-LA0600-seedling-comp.jpg
LA0601	exl	--	308	http://tgrc.ucdavis.edu/images/exl.gif
LA0602	fir	--	12	http://tgrc.ucdavis.edu/images/fir.gif
LA0602	fir	--	915	http://tgrc.ucdavis.edu/images/fir-LA0602-seedling-comp.jpg
LA0603	flav	--	313	http://tgrc.ucdavis.edu/images/flav.gif
LA0604	bu	hem	55	http://tgrc.ucdavis.edu/images/bu^hem.gif
LA0604	bu	hem	817	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling.jpg
LA0604	bu	hem	818	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling-comp.jpg
LA0606	glau	--	919	http://tgrc.ucdavis.edu/images/glau-LA0606-seedling-comp.jpg
LA0607	gra	--	126	http://tgrc.ucdavis.edu/images/gra.gif
LA0611	c	int	58	http://tgrc.ucdavis.edu/images/c^int.gif
LA0612	glo	2	149	http://tgrc.ucdavis.edu/images/intro-leaves.GIF
LA0612	glo	2	321	http://tgrc.ucdavis.edu/images/intro.gif
LA0614	mn	--	67	http://tgrc.ucdavis.edu/images/mn.gif
LA0615	mon	--	51	http://tgrc.ucdavis.edu/images/mon.gif
LA0615	mon	--	958	http://tgrc.ucdavis.edu/images/mon-LA0615-seedling.jpg
LA0620	pic	--	192	http://tgrc.ucdavis.edu/images/pic.gif
LA0621	pu	--	987	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling.jpg
LA0621	pu	--	988	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling-comp.jpg
LA0621	pu	--	989	http://tgrc.ucdavis.edu/images/pu-LA0621-leaves.jpg
LA0625	d-2	--	35	http://tgrc.ucdavis.edu/images/d-2.gif
LA0626	ru	--	213	http://tgrc.ucdavis.edu/images/ru.gif
LA0626	ru	--	995	http://tgrc.ucdavis.edu/images/ru-LA0626-flowers.jpg
LA0626	ru	--	996	http://tgrc.ucdavis.edu/images/ru-LA0626-whole-plant.jpg
LA0626	ru	--	997	http://tgrc.ucdavis.edu/images/ru-LA0626-fruit.jpg
LA0626	ru	--	998	http://tgrc.ucdavis.edu/images/ru-LA0626-seedling.jpg
LA0627	squa	--	234	http://tgrc.ucdavis.edu/images/squa.gif
LA0627	squa	--	1008	http://tgrc.ucdavis.edu/images/squa-LA0627-seedling-comp.jpg
LA0627	squa	--	1009	http://tgrc.ucdavis.edu/images/squa-LA0627-leaf.jpg
LA0628	su	--	239	http://tgrc.ucdavis.edu/images/su.gif
LA0628	su	--	1012	http://tgrc.ucdavis.edu/images/su-LA0628-seedling-comp.jpg
LA0633	vio	--	1032	http://tgrc.ucdavis.edu/images/vio-LA0633-seedling-comp.jpg
LA0634	def	2	874	http://tgrc.ucdavis.edu/images/def^2-LA0634-leaves.jpg
LA0634	def	2	875	http://tgrc.ucdavis.edu/images/def^2-LA0634-seedling-comp.jpg
LA0634	def	2	876	http://tgrc.ucdavis.edu/images/def^2-LA0634-seedling-2.jpg
LA0634	def	2	877	http://tgrc.ucdavis.edu/images/def^2-LA0634-leaves2.jpg
LA0634	def	2	878	http://tgrc.ucdavis.edu/images/def^2-LA0634-fruit.jpg
LA0634	def	2	879	http://tgrc.ucdavis.edu/images/def^2-LA0634-whole-plant.jpg
LA0634	def	2	880	http://tgrc.ucdavis.edu/images/def^2-LA0634-seedling.jpg
LA0638	d	--	135	http://tgrc.ucdavis.edu/images/ht-d.gif
LA0638	ht	--	135	http://tgrc.ucdavis.edu/images/ht-d.gif
LA0638	r	--	135	http://tgrc.ucdavis.edu/images/ht-d.gif
LA0639	aw	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0639	d	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0639	Me	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0640	c	--	57	http://tgrc.ucdavis.edu/images/yv,c.gif
LA0640	yv	--	57	http://tgrc.ucdavis.edu/images/yv,c.gif
LA0643	l-2	--	933	http://tgrc.ucdavis.edu/images/l-2,u-LA0643-seedling.jpg
LA0643	l-2	--	934	http://tgrc.ucdavis.edu/images/l-2,u-LA0643-seedling-comp.jpg
LA0643	u	--	933	http://tgrc.ucdavis.edu/images/l-2,u-LA0643-seedling.jpg
LA0643	u	--	934	http://tgrc.ucdavis.edu/images/l-2,u-LA0643-seedling-comp.jpg
LA0650	aw	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0650	d	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0651	c	--	453	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729-Leav.jpg
LA0651	c	--	454	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729-LvB.jpg
LA0651	c	--	455	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729.jpg
LA0651	m-2	--	453	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729-Leav.jpg
LA0651	m-2	--	454	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729-LvB.jpg
LA0651	m-2	--	455	http://tgrc.ucdavis.edu/images/m-2-LA6652,-alb-LA3729.jpg
LA0659	wv	--	1052	http://tgrc.ucdavis.edu/images/wv-LA0659-leaves.jpg
LA0659	wv	--	1053	http://tgrc.ucdavis.edu/images/wv-LA0659-seedling2.jpg
LA0659	wv	--	1054	http://tgrc.ucdavis.edu/images/wv-LA0659-seedling-comp.jpg
LA0660	cv	2	115	http://tgrc.ucdavis.edu/images/acu.GIF
LA0664	com	--	843	http://tgrc.ucdavis.edu/images/com-LA0664-seedling-comp.jpg
LA0664	com	--	844	http://tgrc.ucdavis.edu/images/com-LA0664-whole-plant.jpg
LA0666	cor	--	847	http://tgrc.ucdavis.edu/images/cor-LA0666-leaves.jpg
LA0666	cor	--	848	http://tgrc.ucdavis.edu/images/cor-LA0666-whole-plant.jpg
LA0668	cur	--	860	http://tgrc.ucdavis.edu/images/cur-LA0668-seedling-comp.jpg
LA0669	dec	--	43	http://tgrc.ucdavis.edu/images/Dec.GIF
LA0673	flc	--	10	http://tgrc.ucdavis.edu/images/flc.GIF
LA0676	glc	--	920	http://tgrc.ucdavis.edu/images/glc-LA0676-flowers.jpg
LA0676	glc	--	921	http://tgrc.ucdavis.edu/images/glc-LA0676-whole-plant.jpg
LA0679	he	--	922	http://tgrc.ucdavis.edu/images/he-LA0679-seedling-comp.jpg
LA0680	imp	dia	320	http://tgrc.ucdavis.edu/images/imp^dia.GIF
LA0681	imp	eg	141	http://tgrc.ucdavis.edu/images/imp^eg.GIF
LA0681	imp	eg	930	http://tgrc.ucdavis.edu/images/imp^eg-LA0681-seedling.jpg
LA0681	imp	eg	931	http://tgrc.ucdavis.edu/images/imp^eg-LA0681-whole-plant.jpg
LA0682	ic	--	927	http://tgrc.ucdavis.edu/images/ic-LA0682-seedling-comp.jpg
LA0684	id	--	139	http://tgrc.ucdavis.edu/images/id.GIF
LA0684	id	--	928	http://tgrc.ucdavis.edu/images/id-LA0684-seedling-comp.jpg
LA0685	lae	--	938	http://tgrc.ucdavis.edu/images/lae-LA0685-seedling-comp.jpg
LA0687	ma	--	946	http://tgrc.ucdavis.edu/images/ma-LA0687-seedling-comp.jpg
LA0688	mar	--	947	http://tgrc.ucdavis.edu/images/mar-LA0688-seedling-comp.jpg
LA0689	muf	--	83	http://tgrc.ucdavis.edu/images/muf.GIF
LA0691	ob	--	180	http://tgrc.ucdavis.edu/images/ob.GIF
LA0701	sem	--	220	http://tgrc.ucdavis.edu/images/sem.GIF
LA0704	sph	--	231	http://tgrc.ucdavis.edu/images/sph.GIF
LA0705	ste	--	236	http://tgrc.ucdavis.edu/images/ste.GIF
LA0706	suc	--	241	http://tgrc.ucdavis.edu/images/suc.GIF
LA0709	bl	to	247	http://tgrc.ucdavis.edu/images/to.GIF
LA0709	bl	to	659	http://tgrc.ucdavis.edu/images/to-la0709-flwr-2.jpg
LA0709	bl	to	660	http://tgrc.ucdavis.edu/images/to-la0709-flwr-comp.jpg
LA0709	bl	to	661	http://tgrc.ucdavis.edu/images/to-la0709-flwr.jpg
LA0709	bl	to	662	http://tgrc.ucdavis.edu/images/to-la0709-fruit.jpg
LA0709	bl	to	663	http://tgrc.ucdavis.edu/images/to-la0709-lf-comp.jpg
LA0709	bl	to	664	http://tgrc.ucdavis.edu/images/to-la0709-lf.jpg
LA0709	bl	to	665	http://tgrc.ucdavis.edu/images/to-la0709.jpg
LA0716	I-3	--	329	http://tgrc.ucdavis.edu/images/pen_flowers.jpg
LA0716	Spi	2	329	http://tgrc.ucdavis.edu/images/pen_flowers.jpg
LA0763	lyr	--	444	http://tgrc.ucdavis.edu/images/lyr-LA7054-6-leaf.jpg
LA0763	lyr	--	445	http://tgrc.ucdavis.edu/images/lyr-LA7054-6.jpg
LA0763	lyr	--	446	http://tgrc.ucdavis.edu/images/lyr-LA7054-6B.jpg
LA0767	f	D	7	http://tgrc.ucdavis.edu/images/f^d.GIF
LA0767	scf	--	7	http://tgrc.ucdavis.edu/images/f^d.GIF
LA0773	c	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0773	c	--	821	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-whole-plant.jpg
LA0773	c	--	822	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-seedling.jpg
LA0773	c	--	823	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-flowers,leaves.jpg
LA0773	c	--	945	http://tgrc.ucdavis.edu/images/m-2,c,yv-LA0773-seedling.jpg
LA0773	m-2	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0773	m-2	--	821	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-whole-plant.jpg
LA0773	m-2	--	822	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-seedling.jpg
LA0773	m-2	--	823	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-flowers,leaves.jpg
LA0773	m-2	--	945	http://tgrc.ucdavis.edu/images/m-2,c,yv-LA0773-seedling.jpg
LA0773	yv	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0773	yv	--	821	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-whole-plant.jpg
LA0773	yv	--	822	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-seedling.jpg
LA0773	yv	--	823	http://tgrc.ucdavis.edu/images/c,m-2,yv-LA0773-flowers,leaves.jpg
LA0773	yv	--	945	http://tgrc.ucdavis.edu/images/m-2,c,yv-LA0773-seedling.jpg
LA0774	e	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0774	ful	--	290	http://tgrc.ucdavis.edu/images/linkage.testers.gif
LA0782	sf	--	221	http://tgrc.ucdavis.edu/images/sy,sf.gif
LA0782	sy	--	221	http://tgrc.ucdavis.edu/images/sy,sf.gif
LA0786	nv	--	459	http://tgrc.ucdavis.edu/images/nv-LA0786-lf-comp.jpg
LA0786	nv	--	460	http://tgrc.ucdavis.edu/images/nv-LA0786.jpg
LA0788	deb	--	935	http://tgrc.ucdavis.edu/images/La,deb-LA0788-seedling.jpg
LA0788	La	--	935	http://tgrc.ucdavis.edu/images/La,deb-LA0788-seedling.jpg
LA0803	a	--	747	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-whole plant.jpg
LA0803	a	--	748	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-flower.jpg
LA0803	hl	--	747	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-whole plant.jpg
LA0803	hl	--	748	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-flower.jpg
LA0803	ms-02	--	747	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-whole plant.jpg
LA0803	ms-02	--	748	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-flower.jpg
LA0803	pro	--	747	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-whole plant.jpg
LA0803	pro	--	748	http://tgrc.ucdavis.edu/images/a,hl,ms-02,pro-LA0803-flower.jpg
LA0810	dd	--	34	http://tgrc.ucdavis.edu/images/dwarfs.gif
LA0810	dd	--	389	http://tgrc.ucdavis.edu/images/dd-LA0810-stg2.jpg
LA0812	Pn	--	977	http://tgrc.ucdavis.edu/images/Pn-LA0812-seedling.jpg
LA0812	Pn	--	978	http://tgrc.ucdavis.edu/images/Pn-LA0812-leaves.jpg
LA0813	pds	--	656	http://tgrc.ucdavis.edu/images/pds-la0813-hypocotyl.jpg
LA0813	pds	--	657	http://tgrc.ucdavis.edu/images/pds-la0813.jpg
LA0819	dc	--	42	http://tgrc.ucdavis.edu/images/dc.GIF
LA0821	spl	--	26	http://tgrc.ucdavis.edu/images/afl-2,spl.GIF
