AccessionNum	Gene	Allele	ImageNum	Hyperlink
LA0821	spl	--	70	http://tgrc.ucdavis.edu/images/dmd2,spl.GIF
LA0821	spl	--	71	http://tgrc.ucdavis.edu/images/dmd3,spl.GIF
LA0821	spl	--	73	http://tgrc.ucdavis.edu/images/dtt,spl.GIF
LA0821	spl	--	74	http://tgrc.ucdavis.edu/images/du,spl.GIF
LA0821	spl	--	107	http://tgrc.ucdavis.edu/images/clt,spl.GIF
LA0821	spl	--	177	http://tgrc.ucdavis.edu/images/mcs,spl.GIF
LA0821	spl	--	178	http://tgrc.ucdavis.edu/images/mcs2,spl.GIF
LA0821	spl	--	179	http://tgrc.ucdavis.edu/images/mcs3,spl.GIF
LA0821	spl	--	201	http://tgrc.ucdavis.edu/images/psa,spl.GIF
LA0821	spl	--	232	http://tgrc.ucdavis.edu/images/spl.GIF
LA0821	spl	--	264	http://tgrc.ucdavis.edu/images/w-6b,spl.GIF
LA0821	spl	--	265	http://tgrc.ucdavis.edu/images/w-6c,spl.GIF
LA0825	ria	--	207	http://tgrc.ucdavis.edu/images/ria.GIF
LA0828	dt	--	72	http://tgrc.ucdavis.edu/images/dt.GIF
LA0831	cg	--	101	http://tgrc.ucdavis.edu/images/cg.GIF
LA0834	jug	2	153	http://tgrc.ucdavis.edu/images/jug^2.GIF
LA0835	lt	--	162	http://tgrc.ucdavis.edu/images/lt.GIF
LA0835	lt	--	942	http://tgrc.ucdavis.edu/images/lt-LA0835-seedling.jpg
LA0842	glu	--	125	http://tgrc.ucdavis.edu/images/glu.GIF
LA0843	ful	2	15	http://tgrc.ucdavis.edu/images/ful^2.GIF
LA0844	marm	2	174	http://tgrc.ucdavis.edu/images/marm^2.GIF
LA0845	mic	--	50	http://tgrc.ucdavis.edu/images/mic.GIF
LA0847	mux	--	118	http://tgrc.ucdavis.edu/images/mux.GIF
LA0849	mts	--	80	http://tgrc.ucdavis.edu/images/mts.GIF
LA0849	mts	--	961	http://tgrc.ucdavis.edu/images/mts-LA0849-plant-comp.jpg
LA0849	mts	--	962	http://tgrc.ucdavis.edu/images/mts-LA0849-whole-plant.jpg
LA0850	era	--	3	http://tgrc.ucdavis.edu/images/era.GIF
LA0850	era	--	403	http://tgrc.ucdavis.edu/images/era-LA0850.jpg
LA0851	mua	--	82	http://tgrc.ucdavis.edu/images/mua.GIF
LA0852	exs	--	4	http://tgrc.ucdavis.edu/images/exs.GIF
LA0854	fa	--	6	http://tgrc.ucdavis.edu/images/fa.GIF
LA0854	fa	--	911	http://tgrc.ucdavis.edu/images/fa-LA0854-seedling.jpg
LA0855	pm	--	121	http://tgrc.ucdavis.edu/images/gi,pm.GIF
LA0855	pm	--	202	http://tgrc.ucdavis.edu/images/pta,pm.GIF
LA0855	pm	--	244	http://tgrc.ucdavis.edu/images/sup,pm.GIF
LA0856	px	--	203	http://tgrc.ucdavis.edu/images/px.GIF
LA0856	px	--	260	http://tgrc.ucdavis.edu/images/vra.GIF
LA0857	vra	--	496	http://tgrc.ucdavis.edu/images/vra-LA857-flowers.jpg
LA0857	vra	--	497	http://tgrc.ucdavis.edu/images/vra-LA857-infl.jpg
LA0857	vra	--	498	http://tgrc.ucdavis.edu/images/vra-LA857-leaves.jpg
LA0857	vra	--	499	http://tgrc.ucdavis.edu/images/vra-LA857.jpg
LA0860	pp	--	195	http://tgrc.ucdavis.edu/images/pp.GIF
LA0862	sfa	--	224	http://tgrc.ucdavis.edu/images/sfa.GIF
LA0862	sfa	--	485	http://tgrc.ucdavis.edu/images/sfa-LA0862i.jpg
LA0864	frg	--	314	http://tgrc.ucdavis.edu/images/frg.GIF
LA0864	frg	--	916	http://tgrc.ucdavis.edu/images/frg-LA0864-seedling.jpg
LA0868	os	--	183	http://tgrc.ucdavis.edu/images/os.GIF
LA0880	div	--	888	http://tgrc.ucdavis.edu/images/div,sf-LA0880-seedling.jpg
LA0880	sf	--	888	http://tgrc.ucdavis.edu/images/div,sf-LA0880-seedling.jpg
LA0882	adp	--	754	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling comp.jpg
LA0882	adp	--	755	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling.jpg
LA0882	deb	--	754	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling comp.jpg
LA0882	deb	--	755	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling.jpg
LA0882	La	--	754	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling comp.jpg
LA0882	La	--	755	http://tgrc.ucdavis.edu/images/adp,La,deb-LA0882-seedling.jpg
LA0883	ah	--	990	http://tgrc.ucdavis.edu/images/pum,ah-LA0883-seedling.jpg
LA0883	pum	--	990	http://tgrc.ucdavis.edu/images/pum,ah-LA0883-seedling.jpg
LA0895	Hr	--	629	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-branch.jpg
LA0895	Hr	--	630	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-fruit.jpg
LA0895	Hr	--	631	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-leaf.jpg
LA0895	sp	--	629	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-branch.jpg
LA0895	sp	--	630	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-fruit.jpg
LA0895	sp	--	631	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-leaf.jpg
LA0895	tp	--	629	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-branch.jpg
LA0895	tp	--	630	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-fruit.jpg
LA0895	tp	--	631	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-leaf.jpg
LA0895	u	--	629	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-branch.jpg
LA0895	u	--	630	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-fruit.jpg
LA0895	u	--	631	http://tgrc.ucdavis.edu/images/hr,tp,sp,u -la0895-leaf.jpg
LA0917	clau	--	377	http://tgrc.ucdavis.edu/images/clau,-ful,ra,e,di-LA0917.jpg
LA0917	clau	--	378	http://tgrc.ucdavis.edu/images/clau,ful,ra,e,di--LA0917-le.jpg
