AccessionNum	Gene	Allele	ImageNum	Hyperlink	Caption	Taxon	PhenotypicCategory	AbbrevForSolgenes	Description
3-602	bip	prov2	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg	Leaves of 3-602,LA3217,LA0512,3-035A,2-295,LA1795 [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-602	bip	prov2	807	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-leaves.jpg	Leaf of 3-602 bip^prov2 compared to wild type (LA1795) [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-602	bip	prov2	808	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling-comp2.jpg	Seedling of 3-602 bip^prov2 compared to wild type (LA1795) [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-602	bip	prov2	809	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling.jpg	Seedling of 3-602 bip^prov2 [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-602	bip	prov2	810	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling-comp.jpg	Seedling of 3-602 bip^prov2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-603	aw	prov4	803	http://tgrc.ucdavis.edu/images/aw^prov4-3-603-seedling-comp.jpg	Seedling of 3-603 aw^prov4 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-604	c	prov3	826	http://tgrc.ucdavis.edu/images/c^prov3-3-604-seedling.jpg	Seedling of 3-604 c^prov3 [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-604	c	prov3	827	http://tgrc.ucdavis.edu/images/c^prov3-3-604-seedling-comp.jpg	Seedling of 3-604 c^prov3 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-625	alb	prov2	786	http://tgrc.ucdavis.edu/images/alb^prov2-3-625-seedling.jpg	Seedling of 3-625 alb^prov2 [photo: Carl M. Jones].	L. esculentum var. cerasiforme	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
3-625	alb	prov2	786	http://tgrc.ucdavis.edu/images/alb^prov2-3-625-seedling.jpg	Seedling of 3-625 alb^prov2 [photo: Carl M. Jones].	L. esculentum var. cerasiforme	G	Variegation	Variegation, flecking or striping
3-631	c	prov6	828	http://tgrc.ucdavis.edu/images/c^prov6-3-631-seedling-comp.jpg	Seedling of 3-631 c^prov6 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum var. cerasiforme	J	Leaf form and size	Leaf form and size
3-706	ae	2	759	http://tgrc.ucdavis.edu/images/ae^2-3-706-seedling-comp.jpg	Seedling of 3-706 ae^2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-802	pi-2	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
