AccessionNum	Gene	Allele
LA0648	e	--
LA0648	h	--
LA0648	j	--
LA0648	rv	--
LA0648	wf	--
LA0648	Wo	--
LA0649	ag	--
LA0649	t	v
LA0650	aw	--
LA0650	d	--
LA0651	c	--
LA0651	m-2	--
LA0652	ch	--
LA0653	ah	--
LA0653	dl	--
LA0653	yv	--
LA0655	Mi	--
LA0656	Mi	--
LA0658	afl	--
LA0659	wv	--
LA0660	cv	2
LA0661	adp	--
LA0662	apl	--
LA0663	bip	--
LA0664	com	--
LA0665	cva	--
LA0666	cor	--
LA0667	Cri	--
LA0668	cur	--
LA0669	dec	--
LA0670	det	--
LA0671	div	--
LA0672	fe	--
LA0673	flc	--
LA0674	fr	--
LA0675	gl	--
LA0676	glc	--
LA0677	glb	--
LA0678	ra	2
LA0679	he	--
LA0680	imp	dia
LA0681	imp	eg
LA0682	ic	--
LA0683	ic	--
LA0684	id	--
LA0685	lae	--
LA0686	lu	--
LA0687	ma	--
LA0688	mar	--
LA0689	muf	--
LA0690	mu	--
LA0691	ob	--
LA0692	oc	--
LA0693	oli	--
LA0694	pen	--
LA0695	pla	--
LA0696	pli	--
LA0697	pol	--
LA0698	prc	--
LA0699	rig	--
LA0700	rot	--
LA0701	sem	--
LA0702	si	--
LA0703	spa	--
LA0704	sph	--
LA0705	ste	--
LA0706	suc	--
LA0707	sua	--
LA0708	ta	--
LA0709	bl	to
LA0710	tr	--
LA0711	ag	--
LA0711	ms-02	--
LA0711	t	v
LA0712	bu	--
LA0712	dl	--
LA0712	l	--
LA0712	ms-02	--
LA0713	c	--
LA0713	ms-32	--
LA0713	yv	--
LA0714	a	--
LA0714	c	--
LA0714	d	--
LA0715	aw	--
LA0715	d	--
LA0715	Me	--
LA0715	Wo	m
LA0716	I-3	--
LA0716	Spi	2
LA0717	ah	--
LA0717	dl	--
LA0717	La	--
LA0719	clau	--
LA0719	Jau	--
LA0720	Hrt	--
LA0720	vms	--
LA0723	ele	--
LA0723	y	--
LA0724	imb	--
LA0724	y	--
LA0725	marm	--
LA0725	y	--
LA0726	prun	--
LA0727	c	--
LA0727	d	--
LA0727	r	--
LA0727	wv	--
LA0728	a	--
LA0728	lut	--
LA0729	a	--
LA0729	neg	--
LA0730	a	--
LA0730	pro	--
LA0731	d	--
LA0731	sub	--
LA0732	d	--
LA0732	suf	--
LA0733	d	--
LA0733	ms-10	--
LA0733	Wo	m
LA0737	yg-3	--
LA0738	yg-4	--
LA0740	al	--
LA0740	yg-4	--
LA0741	d	--
LA0741	sy	--
LA0741	u	--
LA0754	aw	--
LA0754	d	--
LA0754	m	--
LA0754	o	--
LA0754	p	--
LA0756	j-2	in
LA0757	lg-5	--
LA0758	tl	--
LA0759	lg	--
LA0759	pe	--
LA0759	t	--
LA0759	vi	--
LA0760	lg	--
LA0760	vi	--
LA0761	a	--
LA0761	hl	--
LA0761	j	--
LA0763	lyr	--
LA0767	f	D
LA0767	scf	--
LA0768	wv	--
LA0769	hp-1	--
LA0769	ls	--
LA0769	Lx	--
LA0769	px	--
LA0770	clau	--
LA0770	pa	--
LA0771	d	--
LA0771	ms-10	--
LA0771	Wo	--
LA0772	bu	--
LA0772	ch	--
LA0772	l	--
LA0773	c	--
LA0773	m-2	--
LA0773	yv	--
LA0774	e	--
LA0774	ful	--
LA0775	au	--
LA0775	d	--
LA0775	h	--
LA0775	tf	--
LA0776	l	--
LA0776	va	virg
LA0777	d	--
LA0777	dil	--
LA0778	Me	--
LA0778	ms-31	--
LA0778	Wo	m
LA0779	clau	--
LA0779	rv	--
LA0780	ag	--
LA0780	c	--
LA0780	h	--
LA0780	yv	--
LA0781	a	--
LA0781	e	--
LA0781	ful	--
LA0781	neg	--
LA0782	sf	--
LA0782	sy	--
LA0783	au	--
LA0783	d	--
LA0783	tf	--
LA0783	Wo	m
LA0784	a	--
LA0784	e	--
LA0784	ful	--
LA0784	hl	--
LA0785	ah	--
LA0785	dl	--
LA0785	l	--
LA0785	La	--
LA0786	nv	--
LA0787	e	--
LA0787	ven	--
LA0788	deb	--
LA0788	La	--
LA0789	aw	--
LA0789	d	--
LA0789	m	--
LA0789	Me	--
LA0790	aw	--
LA0790	d	--
LA0790	Me	--
LA0790	wv	--
LA0793	a	--
LA0793	c	--
LA0793	d	--
LA0793	l	--
LA0793	r	--
LA0793	y	--
LA0794	ag	--
LA0794	t	v
LA0795	ah	--
LA0795	dl	--
LA0795	yv	--
LA0796	Hrt	--
LA0796	lg-5	--
LA0796	vms	--
LA0797	atv	--
LA0798	a	--
LA0798	hl	--
LA0798	j	--
LA0798	ms-02	--
LA0801	atv	--
LA0801	slx	--
LA0802	c	--
LA0802	m-2	--
LA0802	ms-02	--
LA0802	yv	--
LA0803	a	--
LA0803	hl	--
LA0803	ms-02	--
LA0803	pro	--
LA0804	e	--
LA0805	a	--
LA0805	c	--
LA0805	l	--
LA0805	spa	--
LA0806	B	c
LA0807	alb	--
LA0808	lg-5	--
LA0810	dd	--
LA0811	dpy	--
LA0812	Pn	--
LA0813	pds	--
LA0819	dc	--
LA0820	det	2
LA0821	spl	--
LA0822	rig	2
