#	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity 	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape 	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance
#	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix 	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix
accession	Line #	Plot Number	Replicate Number	date	SP:0000009|	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|scale:PVP	SP:0000198|unit:kilogram	SP:0000217|unit:	filename	SP:0000185|scale:PVP	SP:0000186|scale:NE1014	SP:0000188|scale:PVP	SP:0000201|scale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:millimeter	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014
A05141-27|1	A05141-27	64-11	1	2009/09/23	LRP	5	3	7	9.34416	1.093	A05141-27 Tuber.JPG	5	4	1	5	14.9	5.43	4.98	5	3	5
A05141-27|2	A05141-27	64-29	2	2009/09/23	LRP	7	5	7	33.6	1.087		4	5	1	5				5	5	5
A05141-28|1	A05141-28	63-23	1	2009/09/23	MRP^	8	7	3	5.94216	1.086	A05141-28 Tuber.JPG	4	6	1	5	11.01	5.67	5.09	1	3	1
A05141-28|2	A05141-28	63-29	2	2009/09/23	MRP^	8	7	5	16.5	1.078		4	6	1	4				1	5	1
A05141-29|1	A05141-29	64-06	1	2009/09/23	W	7	6	7	8.3916	1.076	A05141-29 Tuber.JPG	4	6	1	5	12.85	5.66	5.22	5	7	7
A05141-29|2	A05141-29	64-36	2	2009/09/23	W	8	6	7	32.2	1.082		4	6	1	5				3	7	5
A05141-30|1	A05141-30	62-21	1	2009/09/23	MRP^	8	5	3	2.44944	1.082	A05141-30 Tuber.JPG	5	5	1	4	9.69	5.54	5.01	5	5	5
A05141-30|2	A05141-30	64-27	2	2009/09/23	MRP^	6	5	3	10.2	1.081		4	5	1	4				7	7	7
A05141-31|1	A05141-31	65-02	1	2009/09/23	LRP	6	3	3	6.53184	1.101	A05141-31 Tuber.JPG	5	4	1	5	13.16	4.9	4.53	5	5	7
A05141-31|2	A05141-31	65-50	2	2009/09/23	LRP	7	5	3	19.2	1.101		5	4	1	5				5	3	5
A05141-32|1	A05141-32	62-11	1	2009/09/23	W	7	4	5	9.9792	1.102	A05141-32 Tuber.JPG	4	6	1	4	12.55	6.58	5.52	7	7	5
A05141-32|2	A05141-32	62-33	2	2009/09/23	W	8	6	3	40.6	1.088		4	6	1	5				7	7	5
A05141-33|1	A05141-33	62-03	1	2009/09/23	W	6	4	3	5.62464	1.089	A05141-33 Tuber.JPG	5	4	1	4	10.52	5.75	4.98	5	3	5
A05141-33|2	A05141-33	63-40	2	2009/09/23	W	7	5	3	11.4	1.093		5	4	1	5				5	3	5
A05141-34|1	A05141-34	65-21	1	2009/09/23	MRP^	8	8	5	9.57096	1.077	A05141-34 Tuber.JPG	4	6	1	4	12.13	7.23	6.46	5	9	7
A05141-34|2	A05141-34	64-37	2	2009/09/23	MRP^	8	7	5	41.4	1.067		4	5	1	5				5	9	7
A05141-35|1	A05141-35	65-25	1	2009/09/23	MRP^	8	7	3	8.02872	1.093	A05141-35 Tuber.JPG	6	3	1	4	12.9	6.53	5.73	7	7	7
A05141-35|2	A05141-35	62-37	2	2009/09/23	MRP^	8	7	3	31.2	1.086		5	4	1	5				7	7	7
A05141-37|1	A05141-37	65-10	1	2009/09/23	MRP^	5	2	7	10.61424	1.09	A05141-37 Tuber.JPG	5	4	1	4	13.1	6.42	6.07	7	9	7
A05141-37|2	A05141-37	62-40	2	2009/09/23	MRP^	6	3	7	44.6	1.097		4	5	1	5				9	9	9
A05141-39|1	A05141-39	62-20	1	2009/09/23	MRP^	8	3	5	9.02664	1.079	A05141-39 Tuber.JPG	6	2	1	4	12.92	8.11	7.3	5	9	2
A05141-39|2	A05141-39	65-26	2	2009/09/23	MRP^	8	6	3	35.6	1.08		6	2	1	4				3	9	5
A05141-41|1	A05141-41	64-15	1	2009/09/23	LRP	7	4	5	6.5772	1.09	A05141-41 Tuber.JPG	4	5	1	5	10.68	4.78	4.05	5	9	5
A05141-41|2	A05141-41	63-45	2	2009/09/23	LRP	8	6	3	25.2	1.088		1	7	1	5				5	5	5
A05141-42|1	A05141-42	63-21	1	2009/09/23	MRP^	4	1	5	5.53392	1.081	A05141-42 Tuber.JPG	5	4	1	4	11.07	6.49	5.75	5	7	7
A05141-42|2	A05141-42	62-46	2	2009/09/23	MRP^	4	2	5	22.8	1.082		4	5	1	4				7	5	5
A05141-43|1	A05141-43	62-23	1	2009/09/23	MRP^	7	5	7	8.11944	1.094	A05141-43 Tuber.JPG	5	4	1	4	10.7888888888889	6.85	6.17	7	7	5
A05141-43|2	A05141-43	63-39	2	2009/09/23	MRP^	7	5	7	30.2	1.091		4	5	1	4				7	7	7
A05141-44|1	A05141-44	65-23	1	2009/09/23	W	6	4	5	8.43696	1.086	A05141-44 Tuber.JPG	4	6	1	5	11.74	5.55	5.13	5	9	5
A05141-44|2	A05141-44	64-44	2	2009/09/23	W	7	5	5	34.8	1.076		4	5	1	5				5	5	5
A05141-45|1	A05141-45	65-09	1	2009/09/23	LRP	8	8	3	4.71744	1.083	A05141-45 Tuber.JPG	5	4	1	5	12.32	5.3	5.03	5	7	7
A05141-45|2	A05141-45	63-44	2	2009/09/23	LRP	8	7	3	19.8	1.091		5	4	1	5				3	7	9
A05141-46|1	A05141-46	63-25	1	2009/09/23	MRP	7	4	5	7.938	1.084	A05141-46 Tuber.JPG	6	2	1	4	12.15	6.17	5.47	7	7	7
A05141-46|2	A05141-46	65-40	2	2009/09/23	MRP	7	5	3	29	1.081		6	2	1	4				3	5	5
A05141-47|1	A05141-47	63-15	1	2009/09/23	MRP^	7	2	3	7.57512	1.084	A05141-47 Tuber.JPG	5	4	1	5	11.9333333333333	5.75	5.04	5	9	7
A05141-47|2	A05141-47	62-42	2	2009/09/23	MRP^	7	4	3	27.6	1.084		5	4	1	5				5	5	7
A05141-48|1	A05141-48	65-19	1	2009/09/23	W	7	2	5	7.66584	1.084	A05141-48 Tuber.JPG	5	4	1	5	14.84	6.65	5.99	5	9	5
A05141-48|2	A05141-48	63-50	2	2009/09/23	W	7	3	3	31.8	1.082		4	6	1	5				3	9	9
A05141-50|1	A05141-50	64-10	1	2009/09/23	LRP^	8	8	3	9.43488	1.084	A05141-50 Tuber.JPG	4	5	1	5	14.72	6.26	5.46	5	5	5
A05141-50|2	A05141-50	64-34	2	2009/09/23	LRP^	8	7	3	29	1.077		4	6	1	5				1	7	3
A05141-51|1	A05141-51	65-12	1	2009/09/23	MRP^	8	8	3	7.43904	1.087	A05141-51 Tuber.JPG	4	5	1	4	13.13	6.96	6.32	7	9	7
A05141-51|2	A05141-51	64-48	2	2009/09/23	MRP^	8	7	5	30.6	1.078		5	4	1	5				7	7	7
A05141-52|1	A05141-52	65-15	1	2009/09/23	W	6	2	3	8.52768	1.085	A05141-52 Tuber.JPG	5	4	1	5	14.34	5.98	5.37	5	7	7
A05141-52|2	A05141-52	62-36	2	2009/09/23	W	7	4	3	33.9	1.085		5	4	1	5				3	9	7
A05141-53|1	A05141-53	64-16	1	2009/09/23	W	8	7	5	6.71328	1.083	A05141-53 Tuber.JPG	5	4	1	4	6.59	4.89	4.5	7	9	5
A05141-53|2	A05141-53	64-47	2	2009/09/23	W	8	7	5	25.1	1.079		4	5	1	5				7	3	5
A05141-54|1	A05141-54	64-18	1	2009/09/23	W	8	7	7	6.03288	1.076	A05141-54 Tuber.JPG	5	4	1	4	7.89	5.52	5.29	9	7	3
A05141-54|2	A05141-54	64-45	2	2009/09/23	W	8	7	7	20.9	1.068		4	5	1	4				7	5	3
A05141-55|1	A05141-55	65-18	1	2009/09/23	MRP^	4	2	3	7.57512	1.084	A05141-55 Tuber.JPG	6	3	1	5	15.52	6.55	6.12	7	7	5
A05141-55|2	A05141-55	63-49	2	2009/09/23	MRP^	7	5	3	33	1.088		5	4	1	5				7	9	3
A05141-58|1	A05141-58	62-26	1	2009/09/23	MRP	4	1	5	6.5772	1.1	A05141-58 Tuber.JPG	4	6	1	5	9.62	5.21	4.71	5	3	5
A05141-58|2	A05141-58	63-33	2	2009/09/23	MRP	5	1	5	18.4	1.096		4	5	1	4				5	3	5
A05141-59|1	A05141-59	65-24	1	2009/09/23	MRP^	4	1	3	3.03912	1.095	A05141-59 Tuber.JPG	4	5	1	4	8	4.78	4.3	7	3	5
A05141-59|2	A05141-59	63-28	2	2009/09/23	MRP^	3	1	5	8.8	1.087		4	6	1	4				5	1	5
A05141-60|1	A05141-60	62-05	1	2009/09/23	MRP^	8	7	3	9.20808	1.08	A05141-60 Tuber.JPG	5	4	1	5	13.98	6.16	5.55555555555556	5	9	5
A05141-60|2	A05141-60	64-33	2	2009/09/23	MRP^	8	7	5	35.4	1.075		5	4	1	5				3	7	3
A05141-61|1	A05141-61	64-22	1	2009/09/23	MRP	2	1	7	1.8144	1.079	A05141-61 Tuber.JPG	5	4	1	5	5.63333333333333	4.16666666666667	3.82222222222222	9	3	5
A05141-61|2	A05141-61	65-46	2	2009/09/23	MRP	4	1	3	3.4	1.095		4	5	1	4				3	1	3
A05141-62|1	A05141-62	65-07	1	2009/09/23	LRP	7	3	3	2.7216	1.092	A05141-62 Tuber.JPG	5	4	1	5	9.98888888888889	4.61	4.13	3	3	3
